Frame,Time,Accl,Accl,Accl,Gyro,Gyro,Gyro,Mag,Mag,Mag
,,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,-9.020000,0.090000,4.750000,1.470000,2.240000,2.140000,-73.000000,-74.000000,-28.000000
1.000000,0.010000,-9.020000,0.090000,4.750000,1.438640,2.467362,2.218401,-73.000000,-74.000000,-28.000000
2.000000,0.020000,-9.020000,0.090000,4.750000,1.167112,2.774439,1.824914,-71.616379,-72.616379,-28.461206
3.000000,0.030000,-9.023838,0.095756,4.750000,0.872471,3.117560,1.236391,-70.000000,-71.000000,-29.000000
4.000000,0.040000,-9.048818,0.133225,4.750000,0.953655,3.492254,0.561944,-70.000000,-71.000000,-29.000000
5.000000,0.050000,-9.060000,0.150000,4.750000,0.792221,3.385885,0.419611,-70.000000,-71.000000,-29.000000
6.000000,0.060000,-9.060000,0.150000,4.750000,0.434127,2.889579,0.708599,-70.000000,-71.000000,-29.000000
7.000000,0.070000,-9.060000,0.150000,4.750000,0.172119,1.828901,0.732394,-70.000000,-71.000000,-29.000000
8.000000,0.080000,-9.060000,0.150000,4.750000,-0.113254,0.913040,0.580618,-70.000000,-71.000000,-29.000000
9.000000,0.090000,-9.060000,0.150000,4.750000,-0.437845,0.238401,0.192382,-70.000000,-71.000000,-29.000000
10.000000,0.100000,-9.225301,0.256645,4.718007,-1.097878,-2.962715,3.345356,-70.000000,-71.000000,-29.000000
11.000000,0.110000,-9.370000,0.350000,4.690000,-1.945913,-6.336927,6.865372,-70.000000,-71.000000,-29.000000
12.000000,0.120000,-9.370000,0.350000,4.690000,-3.136779,-8.850979,9.524343,-70.000000,-71.000000,-29.000000
13.000000,0.130000,-9.370000,0.350000,4.690000,-3.032452,-8.833288,9.222605,-71.695816,-70.152092,-29.847908
14.000000,0.140000,-9.370000,0.350000,4.690000,-2.298168,-7.425626,7.411874,-74.000000,-69.000000,-31.000000
15.000000,0.150000,-9.370000,0.350000,4.690000,-1.383118,-3.803028,4.378418,-74.000000,-69.000000,-31.000000
16.000000,0.160000,-9.256948,0.275709,4.696460,-0.651596,-0.922225,2.138150,-74.000000,-69.000000,-31.000000
17.000000,0.170000,-9.022868,0.121884,4.709836,-0.116554,1.164438,0.747041,-74.000000,-69.000000,-31.000000
18.000000,0.180000,-9.020000,0.120000,4.710000,1.651719,2.958102,0.085313,-74.000000,-69.000000,-31.000000
19.000000,0.190000,-9.020000,0.120000,4.710000,2.553501,3.805602,-0.136631,-74.000000,-69.000000,-31.000000
20.000000,0.200000,-9.020000,0.120000,4.710000,2.334331,3.454929,0.188994,-74.000000,-69.000000,-31.000000
21.000000,0.210000,-9.020000,0.120000,4.710000,1.793043,2.623722,1.063805,-74.000000,-69.000000,-31.000000
22.000000,0.220000,-9.033922,0.135468,4.706906,1.275033,1.795426,1.731940,-73.690636,-68.845314,-30.690636
23.000000,0.230000,-9.090437,0.198263,4.694347,1.011296,1.249112,1.455643,-72.434738,-68.217369,-29.434740
24.000000,0.240000,-9.110000,0.220000,4.690000,0.085191,0.924957,0.136431,-72.000000,-68.000000,-29.000000
25.000000,0.250000,-9.110000,0.220000,4.690000,-1.153412,0.739848,-1.684162,-72.000000,-68.000000,-29.000000
26.000000,0.260000,-9.110000,0.220000,4.690000,-1.749307,0.915480,-2.650140,-72.000000,-68.000000,-29.000000
27.000000,0.270000,-9.110000,0.220000,4.690000,-1.585221,0.819551,-2.918954,-72.000000,-68.000000,-29.000000
28.000000,0.280000,-9.110000,0.220000,4.690000,-0.535529,0.407172,-2.375363,-72.000000,-68.000000,-29.000000
29.000000,0.290000,-9.239672,0.263224,4.662985,0.393433,-0.876477,-0.435970,-72.000000,-68.000000,-29.000000
30.000000,0.300000,-9.350000,0.300000,4.640000,1.141528,-2.014839,1.046842,-72.000000,-68.000000,-29.000000
31.000000,0.310000,-9.350000,0.300000,4.640000,1.446729,-2.369869,0.660669,-72.000000,-68.000000,-29.000000
32.000000,0.320000,-9.350000,0.300000,4.640000,1.108469,-2.548316,0.134288,-72.833076,-66.750381,-28.166924
33.000000,0.330000,-9.350000,0.300000,4.640000,0.460130,-2.639191,-0.436084,-74.000000,-65.000000,-27.000000
34.000000,0.340000,-9.350000,0.300000,4.640000,0.052241,-2.764695,-0.655716,-74.000000,-65.000000,-27.000000
35.000000,0.350000,-9.287125,0.291018,4.645988,-0.360604,-2.728201,-1.012522,-74.000000,-65.000000,-27.000000
36.000000,0.360000,-9.156040,0.272291,4.658472,-0.778826,-2.515969,-1.518133,-74.000000,-65.000000,-27.000000
37.000000,0.370000,-9.140000,0.270000,4.660000,-0.763844,-2.534104,-1.309862,-74.000000,-65.000000,-27.000000
38.000000,0.380000,-9.140000,0.270000,4.660000,-0.616356,-2.510756,-1.017378,-74.000000,-65.000000,-27.000000
39.000000,0.390000,-9.140000,0.270000,4.660000,-0.288586,-2.303391,-0.763189,-74.000000,-65.000000,-27.000000
40.000000,0.400000,-9.065687,0.195687,4.689725,0.790657,-1.715038,-0.041183,-74.000000,-65.000000,-27.000000
41.000000,0.410000,-8.990000,0.120000,4.720000,1.859102,-1.123341,0.743866,-74.000000,-65.000000,-27.000000
42.000000,0.420000,-8.990000,0.120000,4.720000,2.060009,-0.934992,1.277524,-74.000000,-65.000000,-27.000000
43.000000,0.430000,-8.990000,0.120000,4.720000,1.511843,-0.585416,1.053675,-73.623856,-67.256851,-28.128426
44.000000,0.440000,-8.990000,0.120000,4.720000,0.469001,-0.129719,0.328922,-73.000000,-71.000000,-30.000000
45.000000,0.450000,-8.990000,0.120000,4.720000,-0.089185,0.027075,-0.273166,-73.000000,-71.000000,-30.000000
46.000000,0.460000,-9.007879,0.153205,4.730217,-0.491519,0.005058,-0.338815,-73.000000,-71.000000,-30.000000
47.000000,0.470000,-9.051774,0.234723,4.755300,-0.667095,-0.277117,0.376031,-73.000000,-71.000000,-30.000000
48.000000,0.480000,-9.060000,0.250000,4.760000,-0.375195,-0.274174,0.743453,-73.000000,-71.000000,-30.000000
49.000000,0.490000,-9.060000,0.250000,4.760000,-0.113897,-0.201561,0.899083,-73.000000,-71.000000,-30.000000
50.000000,0.500000,-9.060000,0.250000,4.760000,-0.368790,-0.114361,0.563697,-73.000000,-71.000000,-30.000000
