Frame,Time,Accl,Accl,Accl,Gyro,Gyro,Gyro,Mag,Mag,Mag
,,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,-1.050000,-1.730000,9.900000,-12.110000,3.350000,5.530000,-66.000000,22.000000,-56.000000
1.000000,0.010000,-0.084260,-1.204102,9.450597,-12.110000,3.350000,5.530000,-66.000000,22.000000,-56.000000
2.000000,0.020000,-0.040000,-1.180000,9.430000,-13.551334,3.343565,3.554599,-66.000000,22.000000,-56.000000
3.000000,0.030000,-0.040000,-1.180000,9.430000,-16.894281,2.754904,-0.125651,-65.113495,21.113491,-56.886509
4.000000,0.040000,-0.040000,-1.180000,9.430000,-22.292942,1.513400,-5.612095,-63.232426,19.232424,-58.767574
5.000000,0.050000,-0.040000,-1.180000,9.430000,-29.144840,0.525102,-5.059624,-63.000000,19.000000,-59.000000
6.000000,0.060000,-0.040000,-1.180000,9.430000,-39.193024,-1.584141,-3.305282,-63.000000,19.000000,-59.000000
7.000000,0.070000,-0.040000,-1.180000,9.430000,-56.902596,-6.655690,-0.653245,-63.000000,19.000000,-59.000000
8.000000,0.080000,0.204483,-2.621164,8.593610,-71.505928,-9.383789,3.485536,-63.000000,19.000000,-59.000000
9.000000,0.090000,0.530000,-4.540000,7.480000,-85.671570,-10.981155,8.676164,-63.000000,19.000000,-59.000000
10.000000,0.100000,0.530000,-4.540000,7.480000,-110.611336,-11.728228,18.157757,-63.000000,19.000000,-59.000000
11.000000,0.110000,0.530000,-4.540000,7.480000,-123.937492,-16.840437,35.332508,-63.000000,19.000000,-59.000000
12.000000,0.120000,0.530000,-4.540000,7.480000,-124.457878,-26.765869,60.990128,-63.000000,19.000000,-59.000000
13.000000,0.130000,0.530000,-4.540000,7.480000,-124.510002,-36.597366,63.537472,-52.298279,20.689745,-65.195732
14.000000,0.140000,0.076930,-7.250327,6.049999,-115.588173,-47.424473,54.620419,-44.000000,22.000000,-70.000000
15.000000,0.150000,-1.422059,-16.217497,1.318813,-86.070122,-60.574089,25.175983,-44.000000,22.000000,-70.000000
16.000000,0.160000,-1.710000,-17.940001,0.410000,-24.874527,-43.644241,-31.093006,-44.000000,22.000000,-70.000000
17.000000,0.170000,-1.710000,-17.940001,0.410000,42.360210,-20.180595,-82.751907,-44.000000,22.000000,-70.000000
18.000000,0.180000,-1.710000,-17.940001,0.410000,106.267632,1.905519,-109.916000,-44.000000,22.000000,-70.000000
19.000000,0.190000,-1.710000,-17.940001,0.410000,124.510002,18.948433,-120.664330,-44.000000,22.000000,-70.000000
20.000000,0.200000,-1.833951,-17.799698,0.300817,124.510002,31.789005,-124.219376,-44.000000,22.000000,-70.000000
21.000000,0.210000,-3.340226,-16.094723,-1.025987,124.510002,20.232347,-120.687637,-44.000000,22.000000,-70.000000
22.000000,0.220000,-4.060000,-15.280000,-1.660000,124.490356,-1.115604,-73.909798,-44.000000,22.000000,-70.000000
23.000000,0.230000,-4.060000,-15.280000,-1.660000,124.452736,-31.424145,12.445084,-44.000000,22.000000,-70.000000
24.000000,0.240000,-4.060000,-15.280000,-1.660000,116.888000,-57.437809,36.888107,-70.737289,20.837509,-49.075165
25.000000,0.250000,-4.060000,-15.280000,-1.660000,110.293259,-72.893814,40.467209,-90.000000,20.000000,-34.000000
26.000000,0.260000,-4.060000,-15.280000,-1.660000,106.839096,-67.784676,11.843479,-90.000000,20.000000,-34.000000
27.000000,0.270000,-3.061531,1.056062,2.283028,109.087196,-51.019203,3.034178,-90.000000,20.000000,-34.000000
28.000000,0.280000,-1.900000,20.059999,6.870000,111.088898,-32.530121,2.778515,-90.000000,20.000000,-34.000000
29.000000,0.290000,-1.900000,20.059999,6.870000,99.391418,-28.681030,11.377946,-90.000000,20.000000,-34.000000
30.000000,0.300000,-1.900000,20.059999,6.870000,74.444214,-27.001863,20.871456,-90.000000,20.000000,-34.000000
31.000000,0.310000,-1.900000,20.059999,6.870000,38.438896,-27.133705,31.111156,-90.000000,20.000000,-34.000000
32.000000,0.320000,-1.900000,20.059999,6.870000,23.581139,-20.042269,43.341999,-90.000000,20.000000,-34.000000
33.000000,0.330000,-0.128350,18.941534,8.167420,-5.927928,-9.427269,42.405041,-93.355400,22.908010,-31.315683
34.000000,0.340000,4.833558,15.809017,11.801141,-63.729149,6.880619,17.576702,-102.752953,31.052557,-23.797640
35.000000,0.350000,6.020000,15.060000,12.670000,-68.017044,21.243347,3.524107,-105.000000,33.000000,-22.000000
36.000000,0.360000,6.020000,15.060000,12.670000,-50.521187,33.603336,-4.330899,-105.000000,33.000000,-22.000000
37.000000,0.370000,6.020000,15.060000,12.670000,-8.096794,38.980019,1.923096,-105.000000,33.000000,-22.000000
38.000000,0.380000,3.872918,9.751356,12.086327,24.940699,37.676788,10.401564,-105.000000,33.000000,-22.000000
39.000000,0.390000,0.108550,0.443988,11.063004,50.907524,31.341928,20.555611,-105.000000,33.000000,-22.000000
