Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.526619,0.385893,-0.661382,0.540376,0.327210,-0.608627,0.550038,0.328492,-0.608606,0.558973,0.329676,-0.608585,0.510345,0.324294,-0.613390,0.499945,0.323726,-0.613371,0.490416,0.324008,-0.613603,0.572428,0.337920,-0.295640,0.475739,0.333080,-0.304853,0.543645,0.439990,-0.547766,0.508266,0.435942,-0.550437,0.664974,0.539336,-0.127234,0.385369,0.556977,-0.196622,0.808151,0.325520,-0.143776,0.238690,0.371364,-0.228687,0.957907,0.085383,-0.423753,0.109856,0.117565,-0.422174,0.998973,0.049864,-0.506069,0.063791,0.061527,-0.513275,1.002161,0.040969,-0.585436,0.073146,0.039140,-0.568469,0.982391,0.060041,-0.484766,0.089460,0.058151,-0.470048,0.617762,1.328675,-0.020648,0.432467,1.332247,0.022614,0.614584,1.926358,-0.085767,0.432339,1.922153,-0.054766,0.613455,2.479058,0.245354,0.426335,2.497619,0.080440,0.616371,2.552490,0.254631,0.424690,2.573916,0.075233,0.589626,2.650521,-0.173817,0.452492,2.670813,-0.413548
1.000000,0.075720,0.527402,0.385921,-0.676549,0.541042,0.327178,-0.624372,0.550591,0.328444,-0.624365,0.559581,0.329645,-0.624322,0.510792,0.324301,-0.629446,0.500313,0.323741,-0.629463,0.490741,0.324012,-0.629727,0.572859,0.337905,-0.310726,0.475758,0.332928,-0.321351,0.544414,0.439909,-0.562721,0.508951,0.436062,-0.565768,0.665966,0.544371,-0.138020,0.385191,0.560286,-0.208540,0.822779,0.389551,-0.141451,0.227806,0.408817,-0.222103,0.980968,0.164701,-0.436934,0.081712,0.176495,-0.438729,1.018299,0.119851,-0.514879,0.026983,0.122786,-0.524620,1.014053,0.107505,-0.594226,0.027464,0.097678,-0.588713,0.994645,0.130796,-0.497724,0.046820,0.112161,-0.488683,0.617582,1.331281,-0.021343,0.429992,1.335453,0.023335,0.614547,1.931867,-0.082914,0.431090,1.930592,-0.053715,0.613713,2.485364,0.258587,0.426574,2.504967,0.102288,0.616686,2.558203,0.269132,0.424911,2.579478,0.099452,0.590362,2.655784,-0.158555,0.452789,2.677999,-0.391923
2.000000,0.150964,0.528649,0.385915,-0.659865,0.542095,0.327156,-0.610492,0.551306,0.328402,-0.610511,0.560204,0.329607,-0.610452,0.511745,0.324312,-0.620545,0.501011,0.323758,-0.620593,0.491205,0.324015,-0.620889,0.572871,0.337676,-0.303492,0.475678,0.332885,-0.332638,0.545237,0.439827,-0.548194,0.509519,0.436098,-0.558504,0.665853,0.547629,-0.132133,0.384912,0.561514,-0.221194,0.824950,0.436899,-0.107444,0.211459,0.436440,-0.257307,0.978197,0.274364,-0.388590,0.056440,0.248130,-0.473927,1.014899,0.237656,-0.455775,-0.004414,0.199319,-0.568914,1.013029,0.219489,-0.534756,-0.002065,0.182032,-0.618544,0.994846,0.239799,-0.446797,0.020303,0.201701,-0.515947,0.618963,1.329401,-0.013808,0.430310,1.335946,0.015644,0.617183,1.930218,-0.045990,0.431366,1.932285,-0.047946,0.615999,2.481899,0.322452,0.431151,2.503096,0.130962,0.618549,2.554565,0.337657,0.429894,2.576282,0.133127,0.602687,2.654502,-0.059197,0.457984,2.674098,-0.344195
3.000000,0.228760,0.529237,0.385483,-0.676630,0.543104,0.326806,-0.626747,0.552289,0.327883,-0.626675,0.561451,0.328801,-0.626611,0.512500,0.324172,-0.634242,0.501523,0.323632,-0.634286,0.491535,0.323847,-0.634548,0.573396,0.337509,-0.315197,0.475675,0.332510,-0.336043,0.545954,0.438952,-0.562603,0.509968,0.435982,-0.569563,0.665846,0.553897,-0.148941,0.384762,0.565566,-0.225841,0.837938,0.487540,-0.138867,0.199043,0.479261,-0.271324,0.990858,0.390710,-0.411502,0.035339,0.317305,-0.579423,1.024907,0.401729,-0.479320,-0.025257,0.289156,-0.670808,1.015893,0.380637,-0.558872,-0.021175,0.270500,-0.754603,0.996058,0.393479,-0.469575,0.003085,0.287420,-0.636815,0.619027,1.329311,-0.014469,0.430416,1.336548,0.015974,0.617960,1.925392,-0.037769,0.431447,1.931211,0.004106,0.620463,2.475035,0.359982,0.433688,2.502176,0.230741,0.623588,2.546007,0.377357,0.432756,2.576059,0.236436,0.608632,2.642819,-0.037707,0.459789,2.668799,-0.242889
4.000000,0.305146,0.529118,0.384768,-0.952113,0.543155,0.326190,-0.904323,0.552437,0.327054,-0.904441,0.561688,0.327615,-0.904509,0.512361,0.323949,-0.904816,0.501196,0.323451,-0.904997,0.491150,0.323617,-0.905404,0.573623,0.336769,-0.587505,0.475471,0.331937,-0.578214,0.545966,0.438627,-0.836090,0.509936,0.435971,-0.833360,0.665884,0.559919,-0.403791,0.383110,0.572423,-0.407935,0.866683,0.516300,-0.396751,0.169445,0.510929,-0.465951,1.017968,0.460557,-0.670532,-0.018383,0.364633,-0.819632,1.081094,0.463444,-0.732591,-0.071922,0.367009,-0.901310,1.065271,0.448154,-0.813408,-0.063399,0.330884,-0.992473,1.044241,0.461546,-0.727511,-0.043477,0.362548,-0.877787,0.623229,1.332649,-0.045362,0.430466,1.341948,0.046610,0.624913,1.929362,-0.025171,0.432425,1.944079,0.102455,0.630654,2.475859,0.458132,0.440453,2.502285,0.415098,0.633077,2.546138,0.482166,0.439356,2.574072,0.429232,0.623173,2.644065,0.031634,0.468060,2.669372,-0.079962
5.000000,0.380865,0.528367,0.384579,-0.934113,0.542895,0.326005,-0.892155,0.552324,0.326674,-0.892224,0.561579,0.326979,-0.892286,0.512020,0.323940,-0.885953,0.500940,0.323445,-0.886079,0.491028,0.323602,-0.886445,0.573333,0.335784,-0.595786,0.475502,0.331304,-0.556653,0.545401,0.437859,-0.824541,0.509492,0.435907,-0.813076,0.665899,0.560910,-0.420022,0.382232,0.575052,-0.396119,0.881468,0.549111,-0.399893,0.170485,0.548275,-0.458624,1.052297,0.507703,-0.668480,-0.015297,0.468857,-0.833234,1.140381,0.481936,-0.722684,-0.075666,0.469439,-0.906347,1.125105,0.467002,-0.814975,-0.066102,0.414715,-1.004977,1.099007,0.484227,-0.728711,-0.040321,0.444513,-0.893603,0.629667,1.332515,-0.061998,0.431954,1.341246,0.063380,0.632876,1.929596,-0.052518,0.437045,1.943376,0.086774,0.636900,2.476406,0.405082,0.447399,2.501151,0.369150,0.638951,2.546414,0.425103,0.445879,2.572564,0.379525,0.632598,2.643081,-0.012932,0.472634,2.668175,-0.128908
6.000000,0.455658,0.527565,0.383627,-0.971997,0.542541,0.325379,-0.933054,0.552130,0.325656,-0.933123,0.561385,0.325512,-0.933224,0.511370,0.323861,-0.927370,0.500356,0.323397,-0.927473,0.490647,0.323542,-0.927812,0.573258,0.333851,-0.638784,0.475480,0.330696,-0.604787,0.545153,0.436578,-0.861471,0.509254,0.435724,-0.851350,0.665900,0.564264,-0.442430,0.382426,0.578005,-0.416909,0.876285,0.594570,-0.417419,0.174230,0.591496,-0.450162,1.052622,0.556586,-0.694274,-0.018183,0.542461,-0.801894,1.114394,0.553764,-0.750191,-0.077202,0.508303,-0.873196,1.124323,0.531796,-0.845628,-0.070244,0.491106,-0.972986,1.099377,0.545643,-0.755211,-0.046416,0.519964,-0.861764,0.632037,1.331970,-0.061566,0.435624,1.340686,0.063042,0.636131,1.929735,-0.102803,0.440753,1.943525,0.068255,0.642029,2.476909,0.323166,0.450336,2.503461,0.306577,0.644784,2.546977,0.340085,0.449052,2.574960,0.312408,0.633406,2.642518,-0.118196,0.474046,2.668217,-0.184769
7.000000,0.530105,0.527463,0.381883,-0.897712,0.542473,0.324208,-0.853626,0.552045,0.324151,-0.853693,0.561236,0.323632,-0.853757,0.511339,0.323395,-0.852695,0.500311,0.323014,-0.852760,0.490603,0.323160,-0.853072,0.573012,0.331576,-0.552752,0.475489,0.329842,-0.539907,0.545089,0.434451,-0.786054,0.509248,0.434752,-0.781347,0.665482,0.572639,-0.416453,0.383071,0.580688,-0.377183,0.874847,0.636573,-0.277935,0.178414,0.641970,-0.419826,1.038936,0.672672,-0.580723,-0.003967,0.655071,-0.754639,1.108040,0.710052,-0.627119,-0.074189,0.710967,-0.830365,1.105760,0.687571,-0.743294,-0.069825,0.684865,-0.932943,1.080474,0.695495,-0.646484,-0.046180,0.695450,-0.816037,0.627817,1.331835,-0.045669,0.435108,1.340122,0.047120,0.628186,1.922900,-0.135620,0.440524,1.936265,0.004851,0.641028,2.472560,0.209931,0.449581,2.502829,0.152327,0.643529,2.543992,0.219521,0.448390,2.574131,0.148413,0.632536,2.631379,-0.217798,0.473625,2.665409,-0.321529
8.000000,0.601726,0.526850,0.381856,-0.814826,0.542028,0.324180,-0.774111,0.551735,0.324134,-0.774395,0.560762,0.323583,-0.774582,0.510481,0.323489,-0.775457,0.499230,0.323140,-0.775292,0.489691,0.323271,-0.775573,0.572867,0.331533,-0.474507,0.474854,0.329836,-0.474887,0.544902,0.434389,-0.702605,0.508725,0.434767,-0.701268,0.664423,0.577511,-0.256602,0.384456,0.580970,-0.317993,0.851097,0.673785,-0.143362,0.188471,0.667848,-0.346929,1.024750,0.763638,-0.438668,0.003926,0.710598,-0.730048,1.094597,0.796541,-0.490794,-0.062173,0.747210,-0.806795,1.091012,0.775372,-0.590701,-0.059219,0.717399,-0.898180,1.069224,0.780197,-0.500620,-0.035110,0.729373,-0.811857,0.626134,1.324309,-0.030603,0.434763,1.325584,0.032318,0.624323,1.904436,-0.144802,0.440492,1.911536,-0.047917,0.640392,2.459282,0.177075,0.449267,2.490647,0.071232,0.642738,2.531850,0.185567,0.448119,2.564696,0.066666,0.630124,2.615407,-0.241651,0.473295,2.652968,-0.403530
