Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.515981,0.639677,-0.618519,0.526427,0.591017,-0.564833,0.534702,0.589675,-0.564377,0.543313,0.588876,-0.564023,0.504495,0.594796,-0.553694,0.497328,0.595719,-0.553468,0.490132,0.596516,-0.553058,0.555815,0.595018,-0.304934,0.487620,0.601059,-0.252715,0.533864,0.676390,-0.521176,0.506779,0.675827,-0.506747,0.624593,0.788216,-0.282269,0.432623,0.803773,-0.182716,0.740003,0.606510,-0.751979,0.312118,0.594930,-0.581863,0.662517,0.302009,-1.008168,0.383746,0.297409,-0.934741,0.652028,0.220098,-1.091305,0.387554,0.212527,-1.035143,0.630939,0.214734,-1.035992,0.411882,0.205215,-0.978738,0.626666,0.247127,-0.999657,0.420968,0.236678,-0.930182,0.592478,1.438612,-0.081425,0.471153,1.451181,0.082757,0.624125,1.047916,-0.336536,0.464869,1.085377,-0.040905,0.610175,1.047509,-0.061582,0.514531,1.003796,0.129306,0.611135,1.075282,-0.042194,0.513257,1.015462,0.138153,0.610981,0.980916,-0.245763,0.512050,0.908473,-0.004649
1.000000,0.068246,0.514595,0.634692,-0.601586,0.524836,0.585917,-0.545615,0.532997,0.584840,-0.545308,0.541629,0.584340,-0.544980,0.503816,0.589844,-0.535151,0.496877,0.591201,-0.534980,0.489901,0.592523,-0.534735,0.554943,0.594175,-0.283430,0.487775,0.600307,-0.235333,0.533231,0.674868,-0.505920,0.505979,0.674193,-0.492836,0.624670,0.791832,-0.277231,0.432696,0.808648,-0.163319,0.738640,0.612595,-0.779581,0.311560,0.607287,-0.587675,0.666018,0.284505,-1.071073,0.372119,0.285911,-0.953654,0.658198,0.192202,-1.169425,0.374459,0.198582,-1.052720,0.637662,0.194206,-1.097468,0.396851,0.186697,-0.996541,0.631272,0.226760,-1.058942,0.405279,0.219677,-0.951437,0.596663,1.439694,-0.081832,0.475578,1.451595,0.083469,0.620884,1.325238,-0.368802,0.464277,1.410170,-0.142093,0.608500,1.639075,-0.092223,0.511727,1.672956,0.088637,0.609903,1.706663,-0.078400,0.518121,1.722748,0.115048,0.602515,1.679834,-0.259774,0.502895,1.716580,-0.196385
2.000000,0.134977,0.514650,0.632848,-0.534235,0.524868,0.584018,-0.470938,0.533048,0.583271,-0.470784,0.541740,0.583122,-0.470256,0.503829,0.587420,-0.459973,0.496818,0.588950,-0.459795,0.489694,0.590640,-0.459764,0.555184,0.594177,-0.215702,0.486633,0.600318,-0.158338,0.533474,0.674848,-0.448829,0.505867,0.673982,-0.431269,0.626680,0.800094,-0.227889,0.427908,0.817997,-0.083278,0.737543,0.620700,-0.595152,0.311172,0.635237,-0.334725,0.674246,0.283474,-0.815090,0.363416,0.280994,-0.503107,0.668627,0.173766,-0.913673,0.362930,0.185474,-0.594479,0.648750,0.172293,-0.855546,0.383388,0.165116,-0.540670,0.639709,0.212026,-0.811622,0.392627,0.199770,-0.501482,0.601151,1.467599,-0.076726,0.474986,1.477169,0.078629,0.619311,1.799499,-0.304947,0.462717,1.819943,-0.074223,0.609759,2.321803,-0.015380,0.484345,2.381627,0.048227,0.611537,2.405836,-0.003521,0.491791,2.469583,0.052097,0.601719,2.461427,-0.292410,0.475477,2.522431,-0.214003
3.000000,0.201932,0.515489,0.632353,-0.508850,0.525959,0.582839,-0.442805,0.534417,0.582365,-0.442689,0.543322,0.582497,-0.442122,0.504240,0.585710,-0.440621,0.497036,0.587300,-0.440548,0.489742,0.589241,-0.440656,0.557012,0.594314,-0.171683,0.485749,0.600444,-0.153421,0.534584,0.675349,-0.418276,0.506186,0.674070,-0.413582,0.628594,0.813522,-0.195180,0.425597,0.834268,-0.092995,0.730149,0.622358,-0.557241,0.311080,0.660591,-0.398603,0.677930,0.274871,-0.828276,0.352364,0.274995,-0.616027,0.676715,0.156334,-0.928058,0.349909,0.179354,-0.720590,0.656891,0.152164,-0.883692,0.368839,0.149832,-0.660095,0.646032,0.193928,-0.833139,0.376993,0.184130,-0.614024,0.611303,1.477638,-0.063214,0.473631,1.489881,0.065776,0.617550,1.852586,-0.259372,0.454654,1.868328,-0.151603,0.615068,2.381054,0.015253,0.468636,2.439411,-0.057418,0.615729,2.463046,0.025773,0.475430,2.524764,-0.061943,0.602703,2.534803,-0.293748,0.470144,2.590458,-0.401152
4.000000,0.270656,0.516145,0.630808,-0.544598,0.527430,0.580549,-0.481391,0.536559,0.580527,-0.481273,0.546253,0.581123,-0.480804,0.504501,0.583079,-0.477409,0.497109,0.584895,-0.477364,0.489757,0.587283,-0.477382,0.562133,0.594337,-0.207037,0.485249,0.600568,-0.185590,0.536577,0.675362,-0.448819,0.506536,0.674077,-0.443008,0.630111,0.821527,-0.220628,0.424691,0.844245,-0.122100,0.722000,0.636526,-0.685148,0.309422,0.687212,-0.510493,0.682524,0.281554,-1.044236,0.336825,0.279808,-0.850889,0.685617,0.161080,-1.157512,0.331785,0.180323,-0.961136,0.664457,0.154638,-1.121296,0.349453,0.145093,-0.905184,0.651956,0.198619,-1.052587,0.358066,0.178259,-0.851317,0.614425,1.476813,-0.066199,0.474279,1.488135,0.068684,0.612869,1.832086,-0.308326,0.447925,1.741879,-0.248303,0.615300,2.217389,-0.034847,0.469611,2.278320,-0.119474,0.618044,2.292830,-0.022037,0.478124,2.350893,-0.120242,0.601003,2.329804,-0.313734,0.462814,2.384619,-0.412849
5.000000,0.341757,0.516565,0.630848,-0.518164,0.528607,0.580905,-0.454942,0.538401,0.581302,-0.454979,0.548637,0.582504,-0.454639,0.504601,0.583205,-0.453111,0.497128,0.584994,-0.453039,0.489710,0.587335,-0.453121,0.565182,0.598599,-0.176683,0.484403,0.601682,-0.163479,0.537309,0.676875,-0.423121,0.506607,0.674955,-0.420386,0.631732,0.830853,-0.189598,0.422751,0.849257,-0.117793,0.722956,0.717046,-0.607590,0.308335,0.719626,-0.493571,0.692300,0.330349,-0.922657,0.325467,0.292556,-0.859707,0.693257,0.175910,-1.038084,0.315040,0.190227,-0.982491,0.675215,0.166882,-1.004820,0.330849,0.162711,-0.938107,0.663739,0.205598,-0.935309,0.338918,0.195817,-0.868351,0.616006,1.497649,-0.065758,0.464665,1.501438,0.068594,0.612616,2.076021,-0.236715,0.448405,2.050237,-0.133813,0.613922,2.604252,0.050559,0.449807,2.630089,-0.059644,0.616881,2.682127,0.058045,0.451899,2.715760,-0.070598,0.591819,2.756948,-0.311515,0.453829,2.785439,-0.442314
6.000000,0.408448,0.517816,0.625866,-0.511106,0.531807,0.577484,-0.451346,0.542858,0.578511,-0.451434,0.553937,0.580304,-0.451084,0.504828,0.578573,-0.442721,0.497143,0.579993,-0.442604,0.489420,0.582023,-0.442665,0.569857,0.598575,-0.178469,0.482842,0.600091,-0.136867,0.539688,0.675305,-0.421609,0.506871,0.673683,-0.410041,0.637256,0.830122,-0.186862,0.420209,0.849372,-0.061818,0.726477,0.792415,-0.636607,0.307402,0.755054,-0.472153,0.701453,0.394858,-0.976179,0.310767,0.348525,-0.910291,0.704176,0.249033,-1.087970,0.298094,0.226263,-1.034415,0.684578,0.227809,-1.048559,0.313723,0.189606,-0.979582,0.674478,0.269990,-0.984563,0.321978,0.238969,-0.918327,0.626824,1.510947,-0.065262,0.462561,1.513133,0.068200,0.615431,2.114285,-0.262898,0.450655,2.096108,-0.149271,0.615458,2.656985,-0.034229,0.452313,2.664277,-0.130721,0.619665,2.737297,-0.036188,0.453692,2.746024,-0.146058,0.591931,2.802892,-0.452056,0.459322,2.824948,-0.583854
7.000000,0.474250,0.518725,0.627672,-0.509741,0.533494,0.578077,-0.451567,0.545111,0.579213,-0.451696,0.556355,0.581248,-0.451340,0.504855,0.579308,-0.442800,0.496974,0.580782,-0.442676,0.488852,0.582758,-0.442773,0.572943,0.600711,-0.181906,0.482159,0.601537,-0.137513,0.541530,0.678232,-0.419389,0.507241,0.677007,-0.408156,0.642697,0.828359,-0.179825,0.420071,0.849335,-0.081604,0.731738,0.856032,-0.711561,0.303802,0.809641,-0.629082,0.713663,0.484754,-1.192769,0.296884,0.434640,-1.253971,0.723018,0.342649,-1.317411,0.278389,0.313547,-1.391878,0.699969,0.310773,-1.272973,0.298748,0.289609,-1.345478,0.687597,0.358911,-1.201051,0.309153,0.324558,-1.265117,0.635395,1.521924,-0.059731,0.461202,1.522024,0.063109,0.621800,2.120341,-0.238401,0.458267,2.107615,-0.152867,0.619163,2.668024,-0.010546,0.454160,2.672022,-0.125371,0.624753,2.747129,-0.013190,0.456567,2.749552,-0.138122,0.592200,2.814645,-0.409992,0.480461,2.838656,-0.570161
8.000000,0.539658,0.518669,0.625684,-0.515662,0.533785,0.573560,-0.471574,0.545561,0.574191,-0.471579,0.556636,0.576112,-0.471143,0.503865,0.575578,-0.459461,0.494309,0.576854,-0.459310,0.484888,0.578620,-0.459480,0.573035,0.596841,-0.216462,0.478399,0.598289,-0.152359,0.542575,0.678075,-0.425316,0.506469,0.676965,-0.410459,0.648569,0.825164,-0.176408,0.419364,0.848836,-0.082158,0.735290,0.907484,-0.682094,0.303850,0.880307,-0.613641,0.721423,0.581042,-1.171772,0.290358,0.528274,-1.285962,0.734291,0.428329,-1.283111,0.265042,0.396034,-1.415197,0.706721,0.400217,-1.225972,0.291192,0.367746,-1.363173,0.689970,0.468003,-1.170603,0.304468,0.404918,-1.292186,0.643184,1.516557,-0.060077,0.459359,1.521656,0.063584,0.633207,2.090967,-0.218008,0.462867,2.090278,-0.081205,0.631590,2.631191,0.043395,0.458539,2.636962,-0.021398,0.639479,2.708489,0.046550,0.458363,2.709924,-0.027828,0.600384,2.779582,-0.348299,0.492038,2.808803,-0.507183
