Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.499280,0.470200,-0.563253,0.518519,0.420601,-0.521917,0.528177,0.420273,-0.521922,0.536195,0.421107,-0.522298,0.482233,0.421856,-0.525968,0.470554,0.422972,-0.525523,0.460097,0.424859,-0.525756,0.550691,0.438827,-0.247976,0.446166,0.445982,-0.258891,0.520805,0.524787,-0.462544,0.479115,0.530889,-0.465042,0.631241,0.722639,-0.092222,0.372408,0.714979,-0.151700,0.723426,1.001386,0.012033,0.251595,0.977302,-0.164647,0.838312,1.307736,-0.130801,0.111886,1.262082,-0.474922,0.885008,1.388645,-0.163049,0.059374,1.329350,-0.541704,0.870111,1.401965,-0.236729,0.080566,1.336576,-0.626876,0.845872,1.381493,-0.174510,0.105637,1.321602,-0.526360,0.596967,1.429375,-0.020713,0.410748,1.438179,0.023712,0.597598,2.039021,-0.126966,0.414074,2.047930,-0.022547,0.616357,2.612859,0.175873,0.438425,2.611492,0.103534,0.624311,2.697382,0.182678,0.437711,2.689314,0.101434,0.594880,2.761426,-0.222072,0.467344,2.772362,-0.346111
1.000000,0.102662,0.499933,0.464418,-0.545032,0.519313,0.413088,-0.504335,0.528764,0.413163,-0.504271,0.537146,0.413047,-0.504625,0.482277,0.413826,-0.507663,0.470542,0.414748,-0.507187,0.460039,0.416203,-0.507367,0.552233,0.431107,-0.241315,0.445783,0.436849,-0.250045,0.521730,0.520195,-0.449504,0.479174,0.525042,-0.451239,0.635748,0.722401,-0.097381,0.370063,0.713183,-0.158931,0.723740,1.002921,0.002302,0.249927,0.977661,-0.165743,0.838398,1.311119,-0.139453,0.111604,1.262143,-0.456678,0.885310,1.394764,-0.168430,0.058257,1.329439,-0.521106,0.870046,1.409043,-0.241318,0.081372,1.339238,-0.602155,0.846012,1.385730,-0.182109,0.105945,1.322723,-0.506433,0.597917,1.434194,-0.020886,0.410316,1.440741,0.023848,0.597580,2.040213,-0.128379,0.411335,2.050163,-0.012945,0.616103,2.613509,0.172626,0.433628,2.612223,0.099120,0.624105,2.697640,0.179387,0.432155,2.693129,0.095425,0.592587,2.762148,-0.221310,0.463075,2.773695,-0.344380
2.000000,0.206900,0.499853,0.459586,-0.544507,0.519301,0.405698,-0.499230,0.528820,0.405764,-0.499268,0.537411,0.404824,-0.499613,0.481858,0.405936,-0.502800,0.470024,0.406550,-0.502406,0.459118,0.407546,-0.502650,0.553657,0.421941,-0.237143,0.445155,0.428197,-0.242444,0.521934,0.516352,-0.444334,0.478995,0.519992,-0.447046,0.639771,0.721465,-0.110760,0.368025,0.711837,-0.160731,0.723954,1.004903,-0.032735,0.248767,0.978270,-0.162599,0.838719,1.330025,-0.152728,0.111941,1.262951,-0.411207,0.885510,1.417397,-0.182185,0.058542,1.329992,-0.468727,0.867514,1.432581,-0.249977,0.081941,1.341254,-0.550515,0.844082,1.406387,-0.192796,0.106280,1.324234,-0.460693,0.601284,1.439334,-0.020991,0.410264,1.447140,0.023913,0.601779,2.043296,-0.115375,0.411580,2.055377,-0.004533,0.619873,2.613769,0.194880,0.433776,2.613668,0.113659,0.628641,2.699319,0.203354,0.432257,2.697042,0.111288,0.595293,2.763913,-0.184790,0.463335,2.775262,-0.317694
3.000000,0.312484,0.500371,0.455986,-0.597525,0.519838,0.398231,-0.556255,0.529564,0.398113,-0.556223,0.539139,0.396975,-0.556543,0.481858,0.396989,-0.562091,0.469999,0.396951,-0.561644,0.458952,0.397789,-0.561806,0.556004,0.413800,-0.286999,0.444554,0.420062,-0.303702,0.522844,0.513833,-0.497121,0.479025,0.516464,-0.501587,0.643553,0.719349,-0.129604,0.364829,0.711325,-0.198250,0.727392,1.004988,-0.034295,0.246168,0.979974,-0.166114,0.837491,1.333367,-0.162943,0.112481,1.271532,-0.410564,0.882167,1.421047,-0.194568,0.061115,1.342746,-0.468695,0.862073,1.436906,-0.261410,0.084523,1.356561,-0.550238,0.839325,1.409834,-0.202718,0.108496,1.336240,-0.459415,0.604165,1.446985,-0.021341,0.410221,1.455294,0.024338,0.606604,2.051846,-0.110122,0.412996,2.068648,0.005663,0.624211,2.616330,0.239748,0.435706,2.621954,0.166337,0.632830,2.703766,0.252223,0.434490,2.708013,0.168303,0.599019,2.770342,-0.143036,0.465567,2.784451,-0.271291
4.000000,0.405843,0.502723,0.452967,-0.596206,0.521379,0.393121,-0.557091,0.531182,0.392926,-0.556964,0.541835,0.392169,-0.557310,0.482935,0.390823,-0.564202,0.470525,0.390016,-0.563738,0.459290,0.390738,-0.563884,0.558547,0.409444,-0.291529,0.444347,0.414247,-0.314639,0.525011,0.511659,-0.497340,0.480048,0.513674,-0.503050,0.646508,0.718029,-0.147045,0.361509,0.711848,-0.212493,0.728918,1.008856,-0.064817,0.240535,0.984394,-0.174711,0.827578,1.360682,-0.207427,0.107555,1.278517,-0.410687,0.868160,1.457041,-0.244329,0.056686,1.350211,-0.468988,0.844017,1.475633,-0.309690,0.080723,1.365498,-0.550350,0.822350,1.444217,-0.246403,0.104184,1.344481,-0.459485,0.605718,1.459267,-0.021455,0.409644,1.467196,0.024515,0.607197,2.066842,-0.082191,0.411486,2.083079,0.010985,0.623700,2.626716,0.279747,0.431846,2.635049,0.184918,0.632177,2.715356,0.293359,0.430159,2.722445,0.187875,0.598641,2.787314,-0.096014,0.461988,2.801818,-0.251481
5.000000,0.498291,0.503766,0.453118,-0.608142,0.522234,0.390435,-0.573731,0.532246,0.389566,-0.573683,0.543650,0.388557,-0.574077,0.483084,0.388462,-0.579260,0.470524,0.387283,-0.578788,0.459256,0.387655,-0.578974,0.560813,0.404714,-0.310577,0.444003,0.410486,-0.324645,0.526667,0.511504,-0.507187,0.480507,0.513726,-0.510531,0.650400,0.715873,-0.152015,0.359276,0.711813,-0.211695,0.729540,1.009188,-0.064320,0.235950,0.989911,-0.179483,0.829789,1.354345,-0.200448,0.101468,1.279334,-0.413948,0.869001,1.446473,-0.234788,0.050719,1.351252,-0.470291,0.847609,1.463328,-0.302308,0.073265,1.365204,-0.554339,0.825657,1.434689,-0.240440,0.096618,1.344250,-0.463045,0.608725,1.468946,-0.021607,0.409627,1.477289,0.024702,0.612073,2.073398,-0.064068,0.411628,2.092116,0.030882,0.630516,2.628257,0.305251,0.434545,2.641984,0.214435,0.639218,2.716875,0.320664,0.433655,2.729575,0.218687,0.605602,2.792940,-0.063521,0.466024,2.810768,-0.211785
6.000000,0.590275,0.504119,0.455479,-0.619971,0.522871,0.391412,-0.587728,0.533077,0.390586,-0.587700,0.545052,0.389659,-0.588156,0.483230,0.389739,-0.590571,0.470520,0.388699,-0.590051,0.459172,0.388861,-0.590253,0.562866,0.405040,-0.322102,0.443687,0.409919,-0.323642,0.527024,0.515671,-0.516288,0.480505,0.519416,-0.516198,0.658888,0.715907,-0.159469,0.357197,0.711684,-0.200237,0.735833,1.015058,-0.059552,0.232280,0.991869,-0.141577,0.830648,1.376418,-0.194103,0.097257,1.282234,-0.360916,0.870482,1.479088,-0.230546,0.046819,1.354928,-0.414847,0.847124,1.495877,-0.297664,0.070283,1.368492,-0.503178,0.825526,1.460829,-0.235022,0.093422,1.347051,-0.410778,0.618592,1.484443,-0.025612,0.420764,1.494806,0.029078,0.616351,2.094135,-0.075370,0.411486,2.106135,0.041792,0.631150,2.643888,0.304460,0.432417,2.656864,0.229084,0.640187,2.733135,0.321514,0.431319,2.747823,0.233313,0.604857,2.814275,-0.071733,0.460817,2.827512,-0.204948
7.000000,0.686261,0.504236,0.459451,-0.628107,0.523602,0.392055,-0.597974,0.534408,0.391318,-0.597967,0.547278,0.390463,-0.598394,0.483203,0.390640,-0.601740,0.470213,0.389743,-0.601288,0.458249,0.389725,-0.601539,0.566374,0.405086,-0.333936,0.443110,0.409065,-0.337391,0.527568,0.520759,-0.523161,0.480240,0.526162,-0.523964,0.666637,0.718950,-0.164630,0.353337,0.712076,-0.207537,0.744526,1.031993,-0.064526,0.224717,1.001007,-0.142457,0.831253,1.422554,-0.193006,0.097387,1.298964,-0.369430,0.870984,1.529744,-0.221017,0.049094,1.377369,-0.421440,0.846005,1.545261,-0.284206,0.072656,1.388134,-0.506309,0.824387,1.507095,-0.230337,0.095573,1.364846,-0.417614,0.617687,1.515121,-0.025876,0.411727,1.520163,0.029376,0.619224,2.128703,-0.039422,0.409732,2.136159,0.049002,0.632396,2.676143,0.364685,0.429238,2.685000,0.269545,0.641369,2.765573,0.384288,0.428190,2.777705,0.278838,0.604540,2.857770,-0.001365,0.459076,2.861254,-0.151434
8.000000,0.783049,0.504113,0.470571,-0.705806,0.523784,0.396147,-0.680693,0.535082,0.394897,-0.680558,0.548483,0.393449,-0.680864,0.482777,0.395714,-0.681088,0.469411,0.394499,-0.680561,0.456677,0.393353,-0.680798,0.570211,0.405535,-0.404777,0.442388,0.409785,-0.394881,0.527879,0.532355,-0.594260,0.479577,0.538412,-0.590541,0.671674,0.723396,-0.202295,0.350701,0.714186,-0.240595,0.752551,1.033473,-0.099345,0.219145,1.008670,-0.196582,0.831495,1.408996,-0.254988,0.090067,1.308313,-0.470445,0.871808,1.505684,-0.295224,0.043321,1.389006,-0.533525,0.846630,1.519230,-0.362899,0.066092,1.393408,-0.625028,0.824932,1.486545,-0.295377,0.089198,1.371495,-0.522457,0.617900,1.530944,-0.026446,0.404820,1.532763,0.030059,0.618185,2.147923,0.058133,0.401271,2.155509,0.081607,0.631513,2.696086,0.547691,0.418921,2.704683,0.404550,0.640640,2.782573,0.573840,0.417342,2.791720,0.424452,0.599367,2.881395,0.169413,0.453556,2.887805,-0.045485
