Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.512535,0.380397,-0.786788,0.531831,0.318530,-0.739067,0.543880,0.317753,-0.739305,0.553386,0.317897,-0.739386,0.494134,0.319604,-0.739366,0.482194,0.318772,-0.739183,0.470163,0.319226,-0.739447,0.569988,0.340989,-0.430697,0.457046,0.346309,-0.423373,0.535668,0.440390,-0.675176,0.490769,0.441231,-0.672320,0.681161,0.635568,-0.279457,0.366059,0.643714,-0.273616,0.878675,0.806041,-0.292273,0.160279,0.804194,-0.410918,1.089189,0.920354,-0.689303,-0.064189,0.875977,-0.888991,1.174740,0.965433,-0.759243,-0.114549,0.931087,-0.975047,1.159649,0.936737,-0.860437,-0.107385,0.896740,-1.080145,1.128487,0.942642,-0.752806,-0.083582,0.905549,-0.956959,0.650324,1.429206,-0.048932,0.438907,1.446179,0.051640,0.657695,2.039703,-0.064624,0.454591,2.074547,0.044835,0.669660,2.601232,0.363241,0.471207,2.638102,0.295678,0.676344,2.676514,0.382494,0.469068,2.710764,0.303398,0.657565,2.761169,-0.063063,0.499064,2.806938,-0.188460
1.000000,0.068144,0.512547,0.380390,-0.801712,0.531844,0.318604,-0.756245,0.543890,0.317838,-0.756478,0.553395,0.317978,-0.756551,0.494148,0.319627,-0.752677,0.482207,0.318792,-0.752464,0.470171,0.319241,-0.752707,0.570009,0.340976,-0.447568,0.456997,0.346324,-0.424346,0.535677,0.440355,-0.689088,0.490784,0.441168,-0.681176,0.681158,0.635734,-0.294505,0.365993,0.643683,-0.275241,0.878828,0.808873,-0.300338,0.161280,0.802937,-0.410221,1.090027,0.928773,-0.693673,-0.061014,0.872868,-0.915830,1.176288,0.972757,-0.764030,-0.110104,0.931720,-1.004463,1.162401,0.945459,-0.864093,-0.103145,0.895123,-1.111650,1.131361,0.951367,-0.756458,-0.079549,0.903845,-0.983655,0.651095,1.428659,-0.057565,0.439571,1.445784,0.060390,0.658615,2.038969,-0.075070,0.455252,2.073909,0.082670,0.670720,2.600145,0.367663,0.472249,2.635152,0.355199,0.677626,2.675047,0.387873,0.469728,2.706755,0.365563,0.658284,2.760103,-0.060017,0.500459,2.804301,-0.133965
2.000000,0.133768,0.513497,0.379581,-0.818259,0.532440,0.318395,-0.772147,0.544206,0.317681,-0.772372,0.553682,0.317866,-0.772452,0.494935,0.319284,-0.769695,0.482982,0.318357,-0.769475,0.471047,0.318698,-0.769705,0.570028,0.340916,-0.460795,0.456994,0.346020,-0.441592,0.536188,0.439387,-0.704260,0.491624,0.440042,-0.697943,0.681054,0.635628,-0.312679,0.365048,0.644067,-0.276480,0.878880,0.808465,-0.340175,0.160900,0.803003,-0.428901,1.091864,0.926725,-0.738532,-0.060599,0.872415,-0.955327,1.180650,0.969672,-0.811010,-0.110828,0.929875,-1.043417,1.166676,0.942664,-0.911032,-0.103599,0.894404,-1.147755,1.136014,0.948470,-0.801184,-0.079875,0.903158,-1.022436,0.650873,1.428516,-0.062698,0.438996,1.445702,0.065721,0.658537,2.038947,-0.112095,0.454721,2.074254,0.089321,0.670666,2.600212,0.321576,0.471272,2.634722,0.359898,0.677411,2.675152,0.339915,0.468406,2.706195,0.369618,0.657590,2.760142,-0.116468,0.499388,2.803967,-0.131568
3.000000,0.198747,0.513711,0.379624,-0.829083,0.532673,0.318639,-0.783223,0.544369,0.317959,-0.783427,0.553892,0.318143,-0.783486,0.495092,0.319371,-0.782236,0.483110,0.318404,-0.782008,0.471177,0.318722,-0.782244,0.570143,0.340981,-0.475538,0.456973,0.346031,-0.463183,0.536249,0.439498,-0.716403,0.491742,0.440162,-0.711938,0.681054,0.635863,-0.323875,0.364440,0.644345,-0.308180,0.879944,0.809215,-0.341320,0.158061,0.803937,-0.427427,1.096570,0.925603,-0.729749,-0.065452,0.870128,-0.951449,1.183507,0.967594,-0.799048,-0.116372,0.925809,-1.025037,1.169449,0.940648,-0.899535,-0.109605,0.890333,-1.146429,1.138522,0.946326,-0.792643,-0.085078,0.899498,-1.015439,0.650513,1.430662,-0.061302,0.437348,1.445990,0.064361,0.656761,2.044963,-0.101640,0.451193,2.077541,0.087252,0.665563,2.605683,0.340093,0.466100,2.638119,0.337431,0.671868,2.680147,0.359552,0.462514,2.708769,0.344822,0.652036,2.766523,-0.092207,0.493123,2.810231,-0.152212
4.000000,0.266276,0.513719,0.378271,-0.836406,0.532685,0.317913,-0.789218,0.544383,0.317344,-0.789421,0.553904,0.317650,-0.789468,0.495102,0.318586,-0.786987,0.483120,0.317623,-0.786778,0.471185,0.317939,-0.787015,0.570188,0.340898,-0.480172,0.456964,0.345779,-0.462980,0.536259,0.438568,-0.723618,0.491750,0.438850,-0.717474,0.681350,0.636104,-0.335779,0.363409,0.644862,-0.307979,0.882850,0.809746,-0.363153,0.155503,0.805258,-0.425132,1.097843,0.925752,-0.758947,-0.065788,0.870724,-0.923605,1.183762,0.966968,-0.831845,-0.116833,0.924706,-1.003554,1.169414,0.940183,-0.929713,-0.110148,0.888570,-1.116212,1.138400,0.946257,-0.820877,-0.085955,0.897997,-0.989226,0.649988,1.433645,-0.067779,0.435628,1.447542,0.070773,0.653770,2.049508,-0.094759,0.446575,2.080690,0.098767,0.660006,2.610704,0.364129,0.458033,2.643405,0.371403,0.665550,2.685354,0.387284,0.454199,2.715303,0.381163,0.647436,2.771833,-0.072449,0.484805,2.814471,-0.125111
5.000000,0.344184,0.513796,0.378163,-0.790585,0.532740,0.317834,-0.741600,0.544417,0.317290,-0.741859,0.553929,0.317616,-0.741864,0.495185,0.318344,-0.741502,0.483197,0.317315,-0.741299,0.471256,0.317629,-0.741552,0.570189,0.340884,-0.434899,0.456954,0.345562,-0.426616,0.536289,0.438561,-0.679510,0.491811,0.438742,-0.676423,0.681370,0.636918,-0.303566,0.362980,0.645596,-0.277815,0.883072,0.810044,-0.345437,0.154676,0.805659,-0.402764,1.097487,0.925033,-0.752972,-0.065651,0.869997,-0.918246,1.171229,0.956716,-0.817693,-0.116624,0.924584,-1.000904,1.161716,0.939644,-0.922678,-0.110051,0.887865,-1.108707,1.130885,0.945493,-0.818056,-0.085798,0.897241,-0.988175,0.649238,1.438399,-0.068455,0.434967,1.452717,0.071438,0.653131,2.052078,-0.090846,0.446618,2.085214,0.100488,0.659584,2.614028,0.365433,0.458168,2.647335,0.374273,0.665279,2.688439,0.387925,0.454369,2.719462,0.384936,0.646287,2.776301,-0.067271,0.485036,2.817218,-0.112513
6.000000,0.424102,0.513386,0.378155,-0.744151,0.532535,0.317775,-0.697522,0.544325,0.317229,-0.697762,0.553853,0.317553,-0.697800,0.494994,0.318153,-0.692975,0.483044,0.317062,-0.692728,0.471094,0.317325,-0.692940,0.570148,0.340713,-0.401773,0.456919,0.345161,-0.372074,0.536126,0.438555,-0.637464,0.491515,0.438691,-0.628310,0.681476,0.636923,-0.285882,0.362980,0.645495,-0.223500,0.883113,0.810674,-0.334097,0.155576,0.805417,-0.337240,1.097674,0.924528,-0.741071,-0.065338,0.868847,-0.837132,1.171344,0.961833,-0.815478,-0.115817,0.919228,-0.920276,1.161643,0.939240,-0.910338,-0.109104,0.882733,-1.031227,1.130895,0.944837,-0.802438,-0.084504,0.892749,-0.907241,0.649446,1.438059,-0.076388,0.445745,1.452251,0.079410,0.654503,2.048347,-0.135956,0.453685,2.082694,0.099544,0.661069,2.611568,0.288002,0.465756,2.644196,0.359207,0.666941,2.685045,0.306693,0.461759,2.717281,0.368920,0.647164,2.774254,-0.137526,0.490719,2.809043,-0.121251
7.000000,0.488250,0.513081,0.378237,-0.747684,0.532323,0.317811,-0.702013,0.544215,0.317280,-0.702262,0.553748,0.317613,-0.702318,0.494750,0.318145,-0.697299,0.482824,0.317052,-0.697073,0.470820,0.317314,-0.697317,0.570141,0.340705,-0.408650,0.456818,0.345146,-0.378049,0.535982,0.438652,-0.641774,0.491173,0.438770,-0.632242,0.681614,0.637586,-0.287543,0.362772,0.645743,-0.230280,0.883261,0.813190,-0.333974,0.155766,0.805124,-0.344432,1.100915,0.924730,-0.736275,-0.065283,0.868715,-0.832313,1.177088,0.962788,-0.809226,-0.115962,0.913002,-0.914584,1.166019,0.938642,-0.906416,-0.109767,0.876751,-1.022291,1.128211,0.939210,-0.797978,-0.084744,0.888123,-0.900406,0.650236,1.437973,-0.076315,0.445172,1.452181,0.079286,0.655782,2.046756,-0.121564,0.455109,2.082370,0.098987,0.662663,2.610429,0.309372,0.467365,2.643597,0.351611,0.668745,2.683891,0.328837,0.463607,2.716963,0.360333,0.648607,2.773369,-0.111828,0.492034,2.807386,-0.122725
8.000000,0.567573,0.512961,0.378164,-0.756990,0.532183,0.317676,-0.711404,0.544123,0.317137,-0.711647,0.553653,0.317470,-0.711707,0.494643,0.318024,-0.707484,0.482749,0.316947,-0.707252,0.470743,0.317213,-0.707496,0.570078,0.340622,-0.416286,0.456798,0.345122,-0.389505,0.535937,0.438635,-0.650202,0.491069,0.438740,-0.641724,0.681645,0.638211,-0.289964,0.362426,0.646041,-0.240309,0.882505,0.813792,-0.333886,0.155658,0.805118,-0.344576,1.100798,0.928204,-0.732420,-0.064993,0.867988,-0.805291,1.169618,0.958232,-0.804733,-0.115920,0.912506,-0.887370,1.164773,0.938197,-0.901702,-0.110047,0.876452,-0.993947,1.124746,0.938960,-0.794062,-0.084937,0.887941,-0.872352,0.649921,1.438755,-0.075929,0.444098,1.453455,0.078879,0.655658,2.047483,-0.112704,0.454954,2.084492,0.110471,0.662849,2.610391,0.316378,0.467305,2.645078,0.370933,0.669087,2.683939,0.337776,0.463641,2.717812,0.380813,0.648642,2.773242,-0.088707,0.491966,2.810013,-0.096481
