Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.513446,0.321946,-0.457240,0.525271,0.277611,-0.418177,0.534097,0.277211,-0.418460,0.541256,0.277383,-0.418578,0.497274,0.280970,-0.421344,0.487493,0.283183,-0.421328,0.478138,0.285432,-0.421690,0.550765,0.298520,-0.190899,0.464184,0.309320,-0.202821,0.531113,0.367955,-0.374190,0.496706,0.372509,-0.377231,0.617299,0.564815,-0.050605,0.398404,0.553867,-0.077882,0.680484,0.880942,-0.022279,0.319883,0.861891,-0.033789,0.799036,1.027379,-0.310699,0.192816,1.050942,-0.279962,0.839861,1.057258,-0.378400,0.150378,1.114708,-0.338357,0.839365,1.044747,-0.454390,0.152715,1.107629,-0.420855,0.818662,1.029943,-0.359050,0.173464,1.088750,-0.326633,0.585149,1.178670,-0.012142,0.427596,1.180297,0.013992,0.579908,1.673341,-0.154197,0.425005,1.688057,-0.057843,0.593909,2.154122,0.028515,0.437010,2.176170,-0.040804,0.600466,2.224231,0.029519,0.436114,2.247778,-0.052106,0.571001,2.294212,-0.287270,0.459558,2.311466,-0.395836
1.000000,0.076217,0.513211,0.321876,-0.474245,0.525022,0.277442,-0.434923,0.533753,0.276993,-0.435211,0.540948,0.277120,-0.435350,0.497059,0.280906,-0.438347,0.487247,0.283133,-0.438383,0.477877,0.285399,-0.438665,0.550443,0.298212,-0.200857,0.463914,0.309188,-0.214429,0.530899,0.367729,-0.387872,0.496507,0.372298,-0.391463,0.616835,0.564458,-0.064864,0.396336,0.553825,-0.065464,0.700803,0.836317,-0.040623,0.299087,0.835255,-0.027965,0.839884,0.992341,-0.356187,0.150829,1.028271,-0.288266,0.884970,1.013942,-0.425718,0.110959,1.073444,-0.346471,0.889030,1.002368,-0.503256,0.111750,1.078923,-0.430211,0.865796,0.993408,-0.404153,0.130598,1.060457,-0.336404,0.583754,1.172185,-0.014994,0.427448,1.176142,0.016916,0.570451,1.627758,-0.199766,0.416977,1.659979,-0.096106,0.573945,2.116220,-0.032717,0.404390,2.163512,-0.101672,0.576759,2.188124,-0.031899,0.400380,2.240380,-0.115792,0.556265,2.251781,-0.326466,0.418736,2.290744,-0.444796
2.000000,0.150686,0.513016,0.321819,-0.472022,0.524786,0.277222,-0.430755,0.533477,0.276603,-0.431075,0.540681,0.276544,-0.431226,0.496827,0.280912,-0.436656,0.487029,0.283149,-0.436772,0.477706,0.285423,-0.437016,0.550150,0.297736,-0.191074,0.463739,0.309163,-0.214272,0.530600,0.367481,-0.382594,0.496286,0.372339,-0.388846,0.617032,0.564535,-0.057723,0.395672,0.554418,-0.064834,0.731233,0.810288,-0.019721,0.276457,0.790032,-0.022277,0.888898,0.971887,-0.291118,0.122368,0.958070,-0.243376,0.935018,0.986286,-0.338277,0.075414,0.993406,-0.283039,0.942181,0.979857,-0.412994,0.073025,0.995620,-0.367350,0.922912,0.977642,-0.335321,0.093288,0.985467,-0.290373,0.574131,1.177982,-0.016237,0.426442,1.176032,0.017831,0.531687,1.561074,-0.214586,0.357547,1.567961,-0.200122,0.508276,2.025354,-0.039119,0.275832,2.061581,-0.178695,0.505955,2.095683,-0.036414,0.262157,2.148237,-0.189062,0.496156,2.136051,-0.297669,0.267387,2.148440,-0.487077
3.000000,0.226311,0.512700,0.321998,-0.490742,0.524471,0.277421,-0.444732,0.533127,0.276725,-0.445183,0.540344,0.276610,-0.445353,0.496550,0.281265,-0.450562,0.486795,0.283467,-0.450752,0.477556,0.285700,-0.450856,0.549817,0.297798,-0.202909,0.463592,0.309221,-0.225537,0.530290,0.367505,-0.396773,0.496128,0.372384,-0.402556,0.617046,0.561041,-0.066382,0.394307,0.554840,-0.088752,0.748839,0.761939,-0.052575,0.249845,0.763729,-0.069553,0.912832,0.938966,-0.350033,0.073697,0.898838,-0.341166,0.957984,0.963457,-0.405861,0.029577,0.917946,-0.386195,0.962932,0.966060,-0.481646,0.024632,0.917588,-0.480565,0.943220,0.961973,-0.395089,0.042357,0.917377,-0.392902,0.571777,1.179695,-0.016146,0.425518,1.188426,0.017681,0.543164,1.560168,-0.194297,0.374503,1.579149,-0.095238,0.529765,2.041509,-0.000847,0.329513,2.069738,-0.081863,0.531355,2.112352,0.002958,0.323814,2.154202,-0.098168,0.509423,2.167205,-0.277294,0.321189,2.177809,-0.385358
4.000000,0.302980,0.512534,0.322825,-0.528850,0.524179,0.278615,-0.482232,0.532807,0.277792,-0.482624,0.540071,0.277518,-0.482851,0.496405,0.282437,-0.493215,0.486703,0.284466,-0.493384,0.477520,0.286519,-0.493579,0.549612,0.298576,-0.222341,0.463561,0.309785,-0.272126,0.530060,0.368017,-0.433228,0.496114,0.373228,-0.445484,0.617807,0.562487,-0.086434,0.392620,0.555190,-0.118928,0.756189,0.740148,-0.071653,0.235029,0.728454,-0.129405,0.932752,0.872925,-0.362037,0.054912,0.819408,-0.389694,0.972053,0.899432,-0.414101,0.008068,0.838667,-0.433449,0.977814,0.895678,-0.485579,0.003385,0.832336,-0.523835,0.957860,0.895685,-0.406643,0.023345,0.835600,-0.440009,0.568538,1.180531,-0.016026,0.422224,1.187878,0.017565,0.549995,1.573172,-0.188389,0.369910,1.594212,-0.132060,0.531902,2.042586,0.011821,0.325154,2.083192,-0.081999,0.528798,2.109194,0.015496,0.318070,2.162708,-0.092371,0.517187,2.166647,-0.270824,0.326783,2.194397,-0.402843
5.000000,0.386068,0.511611,0.322697,-0.506466,0.523292,0.278579,-0.463977,0.531976,0.277684,-0.464340,0.539287,0.277345,-0.464558,0.495770,0.282528,-0.473908,0.486183,0.284653,-0.474069,0.477125,0.286841,-0.474397,0.549378,0.298624,-0.222507,0.463488,0.310127,-0.265985,0.529446,0.367571,-0.418837,0.495719,0.373246,-0.429973,0.619390,0.562450,-0.084586,0.392302,0.552777,-0.142094,0.754750,0.708267,-0.073220,0.229981,0.682003,-0.180668,0.921138,0.793985,-0.354329,0.047485,0.730206,-0.428469,0.964006,0.819749,-0.400234,-0.001940,0.735380,-0.471506,0.967521,0.818235,-0.470183,-0.007504,0.728318,-0.553110,0.947799,0.817270,-0.399878,0.016608,0.735257,-0.475621,0.568791,1.179618,-0.012733,0.421204,1.183072,0.013987,0.547218,1.581497,-0.160888,0.370411,1.602767,-0.110535,0.539029,2.046139,0.033356,0.347036,2.092610,-0.079704,0.537431,2.114715,0.035799,0.342881,2.167243,-0.086466,0.524315,2.173678,-0.246703,0.357218,2.217126,-0.399466
6.000000,0.464863,0.511421,0.322336,-0.508571,0.522856,0.278483,-0.464703,0.531502,0.277488,-0.465065,0.538809,0.277028,-0.465257,0.495516,0.282591,-0.474013,0.485969,0.284826,-0.474177,0.476960,0.287170,-0.474499,0.549030,0.298641,-0.226582,0.463411,0.310822,-0.266098,0.529370,0.366938,-0.424133,0.495711,0.373124,-0.433390,0.621766,0.561945,-0.101175,0.391604,0.551651,-0.162689,0.768559,0.670083,-0.112070,0.221898,0.645036,-0.204741,0.938445,0.713333,-0.408483,0.033102,0.648278,-0.464080,0.973958,0.724246,-0.457401,-0.015589,0.640538,-0.514352,0.979399,0.717304,-0.531173,-0.022100,0.628866,-0.595163,0.962433,0.721421,-0.457567,0.002766,0.639458,-0.512793,0.569381,1.188398,-0.012371,0.420437,1.190276,0.013649,0.548260,1.662252,-0.122622,0.392721,1.677290,-0.061452,0.556873,2.125597,0.095993,0.393530,2.161567,-0.010548,0.559950,2.188188,0.101178,0.391990,2.226191,-0.019138,0.544526,2.251724,-0.193301,0.407215,2.287803,-0.356199
7.000000,0.541283,0.511521,0.320756,-0.569082,0.522851,0.277866,-0.525000,0.531481,0.276887,-0.525288,0.538726,0.276491,-0.525403,0.495540,0.282249,-0.531658,0.485987,0.284591,-0.531770,0.476981,0.287086,-0.531998,0.549022,0.298692,-0.275740,0.463408,0.310971,-0.303158,0.529555,0.365586,-0.478909,0.495930,0.371770,-0.485799,0.626650,0.558458,-0.142723,0.388762,0.549922,-0.186909,0.791406,0.633828,-0.156555,0.199746,0.605891,-0.226958,0.950931,0.631872,-0.445628,0.012814,0.584819,-0.495372,0.988210,0.634680,-0.492952,-0.039905,0.567716,-0.545293,0.996949,0.621614,-0.572249,-0.040664,0.554528,-0.624970,0.978374,0.628858,-0.496133,-0.016152,0.569846,-0.543746,0.569271,1.193804,-0.014473,0.419304,1.196965,0.015703,0.549356,1.658471,-0.115939,0.393114,1.671682,-0.030701,0.557094,2.120573,0.145590,0.397674,2.157823,0.072068,0.559989,2.185170,0.154568,0.398501,2.224009,0.066941,0.544596,2.248270,-0.151138,0.409635,2.284069,-0.279276
8.000000,0.615493,0.511522,0.320797,-0.672710,0.522824,0.278234,-0.632881,0.531444,0.277162,-0.633082,0.538653,0.276696,-0.633187,0.495562,0.283069,-0.635759,0.486056,0.285507,-0.635877,0.477111,0.288037,-0.636127,0.548922,0.299587,-0.378296,0.463478,0.312232,-0.384988,0.529552,0.365610,-0.577193,0.495976,0.371871,-0.578569,0.629014,0.551546,-0.214210,0.388412,0.543625,-0.242409,0.803292,0.585459,-0.214605,0.208189,0.556852,-0.279075,0.960978,0.550150,-0.489856,0.024997,0.503460,-0.564118,1.000255,0.546473,-0.535992,-0.023699,0.483184,-0.617746,1.007327,0.534485,-0.619892,-0.027402,0.465905,-0.700641,0.983832,0.540600,-0.542517,-0.005508,0.483062,-0.613908,0.569423,1.186613,-0.019707,0.419463,1.187341,0.020752,0.551270,1.613339,-0.114701,0.396976,1.610006,-0.007674,0.561754,2.056802,0.184865,0.405598,2.090437,0.140266,0.565552,2.116252,0.196783,0.408413,2.156241,0.138815,0.547855,2.186793,-0.128095,0.416328,2.217718,-0.215950
